股票代码,股票名称,最新价格,2日价格变化(%),平均成交量增长(%),第1天日期,第1天收盘,第1天成交量增长(%),第1天涨跌(%),第2天日期,第2天收盘,第2天成交量增长(%),第2天涨跌(%)
000004,*ST国华,11.64,0.26,39.33,2025-11-17,11.35,25.57,-2.24,2025-11-18,11.64,53.08,2.56
000016,深康佳Ａ,5.38,-2.71,12.5,2025-11-17,5.54,12.46,0.18,2025-11-18,5.38,12.53,-2.89
